नारियल,coconut
खर्च,spend
अकेला,lone
इच्छा,wish
नीरव,nirav
दे,give
तोड़,break
शब्दकोश,dictionary
जीत,win
तार,wire
कोर्स,course
वर्ग,square
विद्यालय,school
कॉल,call
दिल,heart
सपना,dream
दोपहर,noon
प्रतीत,seem
से,from
विश्वास,belief
गुलाब,rose
ऋषिकेश,rishikesh
घास,grass
बात,thing
टोपी,hat
फ़िलिस्तीन,palestine
बादल,cloud
राजकुमार,prince
सब,all
आँवला,gooseberry
गहरा,deep
बराबर,even
दौड़,run
चाहे,whether
दोस्त,friend
राग,chord
लाख,million
घोड़ी,mare
साथ,together
बहुत,lot
ढोंग,pose
भयंकर,hideous
हर,every
फ़िलस्तीनी,palestinian
ओह,oh
चिंपांज़ी,chimpanzee
नियंत्रण,control
दीवार,diwar
अपने,your
स्वर,vowel
राजधानी,capital
मंदिर,temple
सच्चाई,sacchai
सच्चाई,truth
साइन,sign
क्रिकेटर,cricketer
बलात्कार,rape
बच्चे,child
मदद,help
नैटबॉल,netball
तोड़ना,breaking
प्रतीक,symbol
है,have
छुट्टी,holiday
शीतल,cool
हॉकी,hockey
तो,then
तरीका,procedure
जाना,go
शीघ्र,soon
अनुभाग,section
काम,work
समतल,even
ब्राउन,brown
तथ्य,fact
स्ट्रिंग,string
केंद्रीय,central
भव्य,grand
नोट,note
सड़क,street
बैंकों,banks
सकना,could
चांदी,silver
नाम,name
खेत,farm
खंड,segment
चोरी,stealing
निर्भर,depend
दुनिया,world
कृष्ण,krishna
पर,at
से,than
खोपड़ी,skull
कीट,insect
कुर्सी,chair
अंगुली,finger
बलात्कारी,rapist
उद्योग,industry
माह,month
रेप,rape
बढ़त,edge
कारण,cause
हैदराबाद,hyderabad
अंतरिक्ष,space
एकदा,once
वापस,back
गाइड,guide
मेहनती,hardworking
सौ,hundred
किया,done
चुप,silent
ऊंट,camel
शिविर,camp
क्षेत्र,area
छठा,sixth
थोड़ा,little
सदैव,always
सोच,think
प्रेस,press
पूरा,complete
ख़ान,khan
दौरान,during
सच्चाई,sachchayi
तल,bottom
चुंबक,magnet
उपयोग,use
जोड़ी,pair
शिशु,baby
केवल,merely
खड़े,stand
नहीं,nahi
मंजिल,floor
वसंत,spring
दिन,day
दीवार,wall
नहीं,no
यह,it
पंख,wing
मुंह,mouth
द्वीप,island
उपस्थिति,presence
रोक,stop
अमीर,rich
अखबार,akhbaar
बिट,bit
उठाओ,pick
पड़ोसी,neighbor
सामान्यीकृत,normalised
स्तंभ,column
चढ़ाई,climb
शतरंज,chess
सुंदर,pretty
पिच,pitch
जर्मनी,germany
कान,ear
हड्डी,bone
गीत,song
पीछे,behind
दीमक,termites
राष्ट्र,nation
पश्चिम,west
संगीत,music
कटौती,cut
जूता,shoe
चौके,fours
लोमड़ी,fox
जब,when
घर,home
कैसे,how
लिफ्ट,lift
साधन,instrument
बोलना,speak
शब्द,word
चार्ज,charge
पर्ची,slip
उम्र,age
परिवार,family
गुलाबी,pink
समुद्र,sea
तक,to
कानून,law
तेरह,thirteen
दूसरा,second
नाप,measure
लेबनान,lebanon
मैच,match
चादर,sheet
दशमलव,decimal
शोर,noise
पास,pass
खरीदा,bought
बेटा,son
मरना,die
पांच,five
हंसी,laugh
लाना,bring
उड़ान,flying
एटम,atom
बिस्तर,bed
मतलब,meaning
तस्वीरें,photos
जवाब,answer
फोटो,photo
जहाज,ship
मारना,hit
पर,on
डर,fear
आपूर्ति,supply
अक्सर,often
कौशल,skill
अभिनेता,actor
तेंदुआ,leopard
महासागर,ocean
आग,fire
ट्रैक,track
हिन्दू,hindu
अचानक,sudden
बुराई,evil
कृपया,please
खाने,eat
पैटर्न,pattern
ठीक,fine
सोचना,ponder
शेर,lion
लिखा,wrote
शब्दांश,syllable
बीस,twenty
होगा,would
घाटी,valley
लोहा,iron
एकल,single
सांस,breathe
नेतृत्व,led
प्रत्येक,each
पकड़ा,caught
झरोखा,jharokha
सर्वश्रेष्ठ,best
दिल्ली,delhi
इकाई,unit
औसत,average
अत्यन्त,extremely
अंत,end
देखें,view
आप,you
मार्क,mark
कपिल,kapil
विचार,idea
एक,a
व्यस्त,busy
बंदूक,gun
मन,mind
सटीक,exact
बैल,ox
हानि,loss
बसा,settle
पत्नी,wife
कुंआ,well
वसा,fat
रेडियो,radio
सच्चा,truthful
शहर,town
जिसका,whose
बोली,dialect
भी,either
निर्धारित,determined
भारत,bharat
आया,came
मील,mile
इन,these
अनुमति,permission
शास्त्रों,scriptures
सागर,sagar
जूते,shoes
उचक्के,bandits
सहमत,agree
पत्र,letter
हरा,green
संभव,possible
व्यवस्था,arrangement
देश,country
यकीन,sure
विभाजन,division
मेरा,mine
आबाद,populate
चीकू,sapota
जादू,spell
लहर,wave
बड़ा,large
बिंदु,point
वर्णन,description
उपकरण,tool
दावा,claim
सपाट,flat
कार्ड,card
सौदा,deal
तैरना,swim
जीना,live
कल्पना,imagine
अभिनेत्री,actress
प्रसार,spread
दरवाजा,door
संचालित,operate
समूह,group
शो,show
इकट्ठा,gather
टायर,tire
कई,several
नक्शा,map
नाव,boat
मुश्किल,difficult
मोटी,thick
उदाहरण,example
आसान,easy
खून,blood
मंगलवार,tuesday
बाल,hair
तीसरा,third
गाल,cheeks
किनारे,shore
प्रकृति,nature
ज्यादा,more
गोल,round
उत्सुक,eager
टुकड़ा,piece
मानव,human
चलो,let
नमक,salt
प्रमुख,chief
प्रार्थना,prayer
आसमान,sky
कूड़ा,rubbish
गुलाम,slave
विशेष,special
कोशिश,try
रंग,paint
आशा,hope
समानता,equate
परीक्षण,test
पपीता,papaya
ग्यारह,eleven
गाना,sing
रेगिस्तान,desert
प्रकार,type
बोर्ड,board
महिला,lady
रोटी,bread
संभावित,probable
घड़ी,clock
अणु,molecule
थे,were
पतली,thin
जो,which
खतरे,danger
चरण,phase
इंच,inch
सातवाँ,seventh
इस्लाम,islam
सामान्य,usual
है,is
सितारा,star
गद्दा,mattress
हजार,thousand
अवधि,period
नदी,river
लंबा,tall
निर्मित,made
पैरा,paragraph
बना,create
गुजराती,gujarati
तैयार,prepare
सर्दियों,centuries
संपूर्ण,total
व्यापार,trade
अर्जुन,arjun
फसल,crop
हो,be
जेल,jail
बारहवीं,twelfth
गई,went
भी,also
भागा,ran
रख,keep
प्रतिनिधि,representative
पार,cross
सुरक्षित,safe
ले,take
शिकार,hunt
पहिया,wheel
शामिल,contain
सेट,set
प्रसिद्ध,famous
इंजन,engine
सबसे,most
हो,are
कह,speak
भेजा,sent
आरंभ,begin
दूध,milk
बावर्ची,chef
गर्मी,heat
तिल्ली,spleen
फार्म,form
सिक्का,coin
पीले,yellow
मिलनसार,sociable
मिट्टी,soil
जा,go
केंद्र,center
नींद,sleep
मृत,dead
नृत्य,dance
सीधे,straight
लायक,worthy
कोमल,gentle
चांद,moon
गति,speed
जरूरत,need
अयोग्य,undeserving
किताबी,scholarly
प्रिय,dear
वे,they
रात,night
कटहल,jackfruit
आसानी,ease
पोस्ट,post
बाघ,tiger
योग्य,deserving
कार,car
शर्मिंदा,embarass
कप्तान,captain
अंजीर,fig
सिक्के,coins
